borough_x,block,lot,sale_price,zip_code,borough_y,yearbuilt,lotarea,bldgarea,resarea,comarea,unitsres,unitstotal,numfloors,latitude,longitude,landuse,bldgclass,building_age,dist_to_tacobell,dist_to_chipotle
4,9546,67,321945,11419.0,QN,1930.0,2420.0,1248.0,1248.0,0.0,2.0,2.0,2.0,40.6806932,-73.8320095,1.0,B3,95.0,0.7267842817104507,1.7032319134208216
4,9546,67,589000,11419.0,QN,1930.0,2420.0,1248.0,1248.0,0.0,2.0,2.0,2.0,40.6806932,-73.8320095,1.0,B3,95.0,0.7267842817104507,1.7032319134208216
4,9548,1,975000,11419.0,QN,1930.0,2335.0,2252.0,2252.0,0.0,2.0,2.0,2.0,40.6821323,-73.8306719,1.0,B2,95.0,0.6057194403548049,1.720881102009333
4,9549,25,1040000,11419.0,QN,1940.0,2615.0,2411.0,2411.0,0.0,2.0,2.0,2.0,40.6813499,-73.8287449,1.0,B2,85.0,0.5888824059937944,1.7013350836541452
4,9550,15,700000,11419.0,QN,1925.0,2000.0,1185.0,1185.0,0.0,2.0,2.0,2.5,40.682318,-73.8282088,1.0,B3,100.0,0.5171291489721995,1.6307405436982145
4,9554,4,1180000,11419.0,QN,1925.0,2617.0,2293.0,2293.0,0.0,2.0,2.0,2.5,40.6871033,-73.8271076,1.0,B3,100.0,0.2429207036946429,1.3393345458879007
4,9556,36,1575000,11419.0,QN,1931.0,1708.0,3100.0,2077.0,1023.0,2.0,3.0,3.0,40.6862901,-73.8248128,4.0,S2,94.0,0.1897441477201104,1.304156450486501
4,9560,49,1025000,11419.0,QN,1920.0,2835.0,2016.0,2016.0,0.0,2.0,2.0,2.0,40.6883652,-73.8212953,1.0,B2,105.0,0.08838584021665383,1.0794480892657434
4,9561,35,1100000,11419.0,QN,1920.0,3000.0,1590.0,1590.0,0.0,2.0,2.0,2.5,40.6883634,-73.8201342,1.0,B3,105.0,0.14846900055461745,1.0462665102335515
4,9570,23,454500,11419.0,QN,1920.0,2300.0,1408.0,1408.0,0.0,2.0,2.0,2.5,40.6848202,-73.8256857,1.0,B3,105.0,0.3007422778632308,1.4128804321902955
4,9572,46,1250000,11419.0,QN,1920.0,1929.0,1888.0,1888.0,0.0,2.0,2.0,2.0,40.6847437,-73.8241354,1.0,B2,105.0,0.27653859594963065,1.370403896283093
4,9574,53,666000,11419.0,QN,1920.0,2300.0,1200.0,1200.0,0.0,2.0,2.0,2.0,40.6851416,-73.8222883,1.0,B3,105.0,0.2442499171778936,1.2954010816254125
4,9579,38,870000,11419.0,QN,1925.0,2368.0,1810.0,1810.0,0.0,2.0,2.0,2.0,40.686672,-73.8179717,1.0,B3,100.0,0.2940096675067727,1.0975151026664258
4,9579,38,680000,11419.0,QN,1925.0,2368.0,1810.0,1810.0,0.0,2.0,2.0,2.0,40.686672,-73.8179717,1.0,B3,100.0,0.2940096675067727,1.0975151026664258
4,9582,55,550000,11419.0,QN,1915.0,2500.0,1596.0,1596.0,0.0,2.0,2.0,2.75,40.6872644,-73.8159365,1.0,B3,110.0,0.3795051112376824,1.0206819798794866
4,9595,61,570220,11419.0,QN,1915.0,2500.0,1806.0,1806.0,0.0,2.0,2.0,2.5,40.6894813,-73.8103665,1.0,B3,110.0,0.6621358360901743,0.8132865377577362
4,9598,14,1150000,11419.0,QN,1925.0,2850.0,2247.0,2247.0,0.0,2.0,2.0,2.0,40.6837076,-73.823262,1.0,B2,100.0,0.34143861088489597,1.4067703325675571
4,9599,36,550000,11419.0,QN,1925.0,1867.0,1800.0,1800.0,0.0,2.0,2.0,2.0,40.6830055,-73.8218505,1.0,B3,100.0,0.3937713777405907,1.4137689703503762
4,9599,47,510000,11419.0,QN,1925.0,2700.0,2480.0,2480.0,0.0,2.0,2.0,2.0,40.6825227,-73.8220068,1.0,B2,100.0,0.42581829942793437,1.4472764257002384
4,9605,57,873000,11419.0,QN,1925.0,2970.0,1568.0,1568.0,0.0,2.0,2.0,2.5,40.6843349,-73.8171885,1.0,B3,100.0,0.4238468091299702,1.2336704670841836
4,9606,42,854500,11420.0,QN,1925.0,1995.0,1472.0,1472.0,0.0,2.0,2.0,2.5,40.6842126,-73.8161793,1.0,B3,100.0,0.4685110098370999,1.225829526725999
